,tid,title,action,scifi,drama,romance
0,tt1133993_0_6189,Serious Moonlight  ,False,False,False,True
1,tt0788135,Mini  ,False,False,False,True
2,tt0324554_0_5798,Wicker Park  ,False,False,True,True
3,tt1105747,Yuvvraaj  ,False,False,True,True
4,tt0841044_0_7411,2 Days in Paris  ,False,False,True,True
5,tt0226379,Reversal  ,False,False,True,True
6,tt0291350_0_5375,Sennen joyû  ,False,False,True,True
7,tt0120824_0_8059,The Shipping News  ,False,False,True,True
8,tt1458175_0_6539,The Next Three Days  ,False,False,True,True
9,tt0279362_0_3028,The Real Thing  ,False,False,False,True
10,tt0765120,My Blueberry Nights  ,False,False,True,True
11,tt0337876_0_4719,Birth  ,False,False,True,True
12,tt0790712_0_1588,The Messenger  ,False,False,True,True
13,tt1772640,The Big Picture             ,False,False,False,True
14,tt1336617_0_4138,Cyrus  ,False,False,True,True
15,tt1451409_0_2695,Pokkiri  ,True,False,False,True
16,tt1772640_0_3388,The Big Picture             ,False,False,False,True
17,tt0240200_0_7418,Water  ,False,False,True,True
18,tt1395054_0_4243,Once Upon a Time in Mumbaai  ,False,False,True,True
19,tt1598822_0_1489,New Year's Eve  ,False,False,False,True
20,tt1655442_0_9135,The Artist  ,False,False,True,True
21,tt0795493_0_4661,Cassandra's Dream  ,False,False,True,True
22,tt0835034_0_3550,A Four Letter Word  ,False,False,False,True
23,tt0417001_0_9459,Must Love Dogs  ,False,False,False,True
24,tt0291579,À la folie... pas du tout  ,False,False,False,True
25,tt0421715,The Curious Case of Benjamin Button  ,False,False,True,True
26,tt1859650_0_705,To Rome with Love  ,False,False,False,True
27,tt1630626_0_7915,Blue Crush 2  ,False,False,True,True
28,tt0240510,The Four Feathers  ,False,False,True,True
29,tt1120985_0_1402,Blue Valentine  ,False,False,True,True
30,tt0785007_0_4877,Over Her Dead Body  ,False,False,False,True
31,tt1279935,Date Night  ,False,False,False,True
32,tt0265930_0_8059,L'ultimo bacio  ,False,False,True,True
33,tt0347304_0_2206,Kal Ho Naa Ho  ,False,False,True,True
34,tt2229499_0_7545,Don Jon  ,False,False,True,True
35,tt0606116_0_4486,The Slutty Pumpkin             ,False,False,True,True
36,tt0758766_0_2406,Music and Lyrics  ,False,False,False,True
37,tt0770752_0_1573,Fool's Gold  ,False,False,False,True
38,tt0808357,"Se, jie  ",False,False,True,True
39,tt0841108_0_1184,Hannah Takes the Stairs  ,False,False,True,True
40,tt0443543_0_2891,The Illusionist  ,False,False,True,True
41,tt0309987_0_4891,The Dreamers  ,False,False,True,True
42,tt0902249_0_429,Ai qing hu jiao zhuan yi  ,False,False,False,True
43,tt0265029_0_5357,America's Sweethearts  ,False,False,False,True
44,tt1366312_0_1188,Emma             ,False,False,True,True
45,tt1014044,Destiny and Fortune             ,False,False,True,True
46,tt0800956_0_6140,Life in a Metro  ,False,False,True,True
47,tt1542852_0_3211,Carancho  ,False,False,True,True
48,tt1001508_0_721,He's Just Not That Into You  ,False,False,True,True
49,tt1000774_0_5297,Sex and the City  ,False,False,True,True
50,tt0377752_0_5726,Dear Frankie  ,False,False,True,True
51,tt0350028_0_9791,Raising Helen  ,False,False,True,True
52,tt1447500_0_5189,Magadheera  ,True,False,True,True
53,tt0287467_0_3532,Hable con ella  ,False,False,True,True
54,tt1055292_0_9649,Life as We Know It  ,False,False,True,True
55,tt1093370_0_7884,Jab We Met  ,False,False,False,True
56,tt0460745_0_5296,Chaos Theory  ,False,False,True,True
57,tt1472059_0_6062,Eating Out: All You Can Eat  ,False,False,True,True
58,tt0795376,Eating Out 2: Sloppy Seconds  ,False,False,False,True
59,tt1588173_0_7590,Warm Bodies  ,False,False,False,True
60,tt0324554_0_6741,Wicker Park  ,False,False,True,True
61,tt1487118_0_3899,Chalet Girl  ,False,False,False,True
62,tt0795421_0_8053,Mamma Mia!  ,False,False,False,True
63,tt1411238_0_4688,No Strings Attached  ,False,False,False,True
64,tt1563738,One Day  ,False,False,True,True
65,tt1635837_0_2783,Nerdy Little Secrets             ,False,False,True,True
66,tt0996605,Les chansons d'amour  ,False,False,True,True
67,tt1635987_0_6249,The Townie             ,False,False,True,True
68,tt0765120_0_64,My Blueberry Nights  ,False,False,True,True
69,tt0758752,Love & Other Drugs  ,False,False,True,True
70,tt1215172_0_8000,We Need to Talk About Kieran  ,False,False,False,True
71,tt2243299_0_9330,Final Cut: Hölgyeim és uraim  ,False,False,True,True
72,tt0250468_0_3021,Killing Me Softly  ,False,False,True,True
73,tt0344510,Un long dimanche de fiançailles  ,False,False,True,True
74,tt1263670_0_9537,Crazy Heart  ,False,False,True,True
75,tt0478311,Knocked Up  ,False,False,True,True
76,tt0324013_0_3844,Soldier's Girl  ,False,False,True,True
77,tt0913425_0_5103,Los abrazos rotos  ,False,False,True,True
78,tt0159365_0_836,Cold Mountain  ,False,False,True,True
79,tt0423866_0_9533,Bin-jip  ,False,False,True,True
80,tt0243155_0_23,Bridget Jones's Diary  ,False,False,True,True
81,tt0456396,L'enfant  ,False,False,True,True
82,tt0908454_0_1875,Gavin & Stacey             ,False,False,False,True
83,tt1041829,The Proposal  ,False,False,True,True
84,tt1092634,Shanghai  ,False,False,True,True
85,tt0294357_0_5383,Beyond Borders  ,False,False,True,True
86,tt0397535_0_6340,Memoirs of a Geisha  ,False,False,True,True
87,tt0333766,Garden State  ,False,False,True,True
88,tt0330229_0_2839,Dolls  ,False,False,True,True
